sample_id,dose,aso,plate_index,scale
Sample 0,0.0,Control,1,5632551
Sample 1,0.0,Control,1,4509225
Sample 2,0.0,Control,1,8328958
Sample 3,0.0,Control,4,4032754
Sample 4,0.0,Control,1,6020612
Sample 5,0.0,Control,1,8469360
Sample 6,0.0,Control,4,5750061
Sample 7,0.0,Control,4,4341366
Sample 8,0.0,Control,7,576919
Sample 9,0.0,Control,3,620031
Sample 10,0.0,Control,3,1062815
Sample 11,0.0,Control,5,5183021
Sample 12,10.0,ASO,7,668145
Sample 13,5.0,ASO,7,587641
Sample 14,0.0,Control,5,5142502
Sample 15,0.0,Control,4,4036126
Sample 16,0.0,Control,6,1089885
Sample 17,0.0,Control,2,3328733
Sample 18,0.0,Control,7,965329
Sample 19,0.0,Control,1,8929017
Sample 20,0.0,Control,3,1112770
Sample 21,0.0,Control,7,1179373
Sample 22,0.0,Control,5,4456564
Sample 23,0.0,Control,4,6086382
Sample 24,0.0,Control,5,5203001
Sample 25,0.0,Control,0,1070603
Sample 26,0.0,Control,1,3768883
Sample 27,1.25,ASO,3,937941
Sample 28,0.0,Control,4,5671475
Sample 29,0.0,Control,3,1053998
Sample 30,0.0,Control,2,3793908
Sample 31,0.0,Control,4,6055025
Sample 32,0.0,Control,3,1019936
Sample 33,0.0,Control,0,1880104
Sample 34,0.0,Control,6,3886902
Sample 35,10.0,ASO,7,534856
Sample 36,0.0,Control,1,3589593
Sample 37,0.0,Control,7,897404
Sample 38,0.0,Control,0,2206833
Sample 39,0.0,Control,4,4826641
Sample 40,0.0,Control,6,1206265
Sample 41,0.0,Control,3,898996
Sample 42,0.0,Control,2,4010366
Sample 43,0.0,Control,0,2423304
Sample 44,0.0,Control,6,1302273
Sample 45,0.0,Control,7,487172
Sample 46,10.0,ASO,3,1292901
Sample 47,0.0,Control,7,571854
Sample 48,0.0,Control,5,5127663
Sample 49,1.25,ASO,7,942669
Sample 50,0.0,Control,0,1626097
Sample 51,0.0,Control,6,4232120
Sample 52,0.0,Control,1,7440302
Sample 53,0.0,Control,0,2705862
Sample 54,0.0,Control,6,869733
Sample 55,0.0,Control,4,3787217
Sample 56,0.0,Control,0,2963889
Sample 57,5.0,ASO,3,1359412
Sample 58,0.0,Control,6,3708031
Sample 59,0.0,Control,1,7215165
Sample 60,0.0,Control,2,3795508
Sample 61,0.0,Control,0,2683158
Sample 62,0.0,Control,4,4181996
Sample 63,0.0,Control,4,5282584
Sample 64,0.0,Control,5,6330048
Sample 65,0.0,Control,2,3757094
Sample 66,0.0,Control,7,1170786
Sample 67,0.0,Control,4,5326163
Sample 68,0.0,Control,2,3154531
Sample 69,0.0,Control,5,4837898
Sample 70,2.5,ASO,3,1247361
Sample 71,0.0,Control,2,3839312
Sample 72,0.0,Control,2,4519331
Sample 73,0.0,Control,2,3018795
Sample 74,0.0,Control,2,3918699
Sample 75,0.0,Control,6,3899561
Sample 76,0.0,Control,6,3837372
Sample 77,0.0,Control,1,5095498
Sample 78,0.0,Control,6,1285269
Sample 79,0.0,Control,0,2401989
Sample 80,0.0,Control,2,3436071
Sample 81,0.0,Control,0,2504697
Sample 82,0.0,Control,2,4504894
Sample 83,0.0,Control,3,1603900
Sample 84,0.0,Control,0,2085660
Sample 85,0.0,Control,1,7607874
Sample 86,0.0,Control,7,803317
Sample 87,0.0,Control,2,3620108
Sample 88,0.0,Control,0,1794739
Sample 89,0.0,Control,2,3776412
Sample 90,0.0,Control,6,3443116
Sample 91,0.0,Control,6,4186867
Sample 92,0.0,Control,6,1409065
Sample 93,10.0,ASO,3,1578500
Sample 94,0.0,Control,3,1433820
Sample 95,0.0,Control,1,5884228
Sample 96,0.0,Control,3,1263975
Sample 97,0.0,Control,6,4027345
Sample 98,0.0,Control,1,7253383
Sample 99,0.625,ASO,7,598910
Sample 100,0.0,Control,7,571371
Sample 101,0.0,Control,0,2176873
Sample 102,0.0,Control,6,1487330
Sample 103,0.0,Control,0,1555825
Sample 104,0.0,Control,4,5459063
Sample 105,0.625,ASO,3,717517
Sample 106,0.0,Control,6,1276210
Sample 107,0.0,Control,4,5566468
Sample 108,0.0,Control,1,6021073
Sample 109,0.0,Control,4,4817963
Sample 110,0.0,Control,0,2054123
Sample 111,0.0,Control,2,3262144
Sample 112,0.0,Control,3,1157415
Sample 113,0.0,Control,7,700396
Sample 114,0.0,Control,0,2096776
Sample 115,0.0,Control,3,1120225
Sample 116,0.0,Control,7,576095
Sample 117,0.0,Control,4,4468664
Sample 118,0.0,Control,5,5131910
Sample 119,0.0,Control,2,4213503
Sample 120,0.0,Control,1,5614886
